source_file,simple_type,restriction_base,value_index,value
IBIS-IP_Enumerations_V2.4.xsd,TelecabinSubmodeEnumeration,xs:NMTOKEN,4,cableCar
IBIS-IP_Enumerations_V2.4.xsd,TelecabinSubmodeEnumeration,xs:NMTOKEN,5,lift
IBIS-IP_Enumerations_V2.4.xsd,TelecabinSubmodeEnumeration,xs:NMTOKEN,6,chairLift
IBIS-IP_Enumerations_V2.4.xsd,TelecabinSubmodeEnumeration,xs:NMTOKEN,7,dragLift
IBIS-IP_Enumerations_V2.4.xsd,TelecabinSubmodeEnumeration,xs:NMTOKEN,8,telecabinLink
IBIS-IP_Enumerations_V2.4.xsd,FunicularSubmodeEnumeration,xs:NMTOKEN,1,unknown
IBIS-IP_Enumerations_V2.4.xsd,FunicularSubmodeEnumeration,xs:NMTOKEN,2,funicular
IBIS-IP_Enumerations_V2.4.xsd,FunicularSubmodeEnumeration,xs:NMTOKEN,3,streetCableCar
IBIS-IP_Enumerations_V2.4.xsd,FunicularSubmodeEnumeration,xs:NMTOKEN,4,allFunicularServices
IBIS-IP_Enumerations_V2.4.xsd,FunicularSubmodeEnumeration,xs:NMTOKEN,5,undefinedFunicular
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,1,unknown
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,2,undefined
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,3,communalTaxi
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,4,charterTaxi
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,5,waterTaxi
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,6,railTaxi
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,7,bikeTaxi
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,8,blackCab
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,9,miniCab
IBIS-IP_Enumerations_V2.4.xsd,TaxiSubmodeEnumeration,xs:NMTOKEN,10,allTaxiServices
IBIS-IP_Enumerations_V2.4.xsd,SelfDriveSubmodeEnumeration,xs:NMTOKEN,1,unknown
IBIS-IP_Enumerations_V2.4.xsd,SelfDriveSubmodeEnumeration,xs:NMTOKEN,2,undefined
IBIS-IP_Enumerations_V2.4.xsd,SelfDriveSubmodeEnumeration,xs:NMTOKEN,3,hireCar
IBIS-IP_Enumerations_V2.4.xsd,SelfDriveSubmodeEnumeration,xs:NMTOKEN,4,hireVan
IBIS-IP_Enumerations_V2.4.xsd,SelfDriveSubmodeEnumeration,xs:NMTOKEN,5,hireMotorbike
IBIS-IP_Enumerations_V2.4.xsd,SelfDriveSubmodeEnumeration,xs:NMTOKEN,6,hireCycle
IBIS-IP_Enumerations_V2.4.xsd,SelfDriveSubmodeEnumeration,xs:NMTOKEN,7,allHireVehicles
